字段1,字段2,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,地区
留言对象：河北省委书记倪岳峰,邢台市开发区永康世家项目多次延期交房,建言,城建,办理中,2023-08-30 14:43,河北邢台市开发区永康世家，蓝皮合同约定2021年12月31号交房，至今已经延期多次，没有三书一表，地库和绿化等未完工，特别是2022年6月19日前后设计虚假交房，现在工地仍无明显进展。小区仍然是一片废墟，诉求退房或者列入政府保交楼。希望部门领导为老百姓做主。,认领交办,2023-08-31 09:39,您的留言我们已收到！您反映的问题已转相关部门处理，感谢您的宝贵留言！,河北省邢台市邢台
留言对象：河北省委书记倪岳峰,将基因染色体检查纳入医保，为白血病开启生通道,建言,医疗,办理中,2023-08-28 10:13,我是一名慢粒白血病患者，由于自己病情变化不稳定，需要长期检查基因，染色体来查看病情发展情留况，然而这些检查未纳入医保，恰恰这些白血病患者必须查这些，沉重的医疗费用苦不堪言。能不能为我们白血病患者开辟一条绿色生命通道，将基因，染色体等检查纳入医保报销,认领交办,2023-08-29 15:12,您的留言我们已收到！您反映的问题已转相关部门处理，感谢您的宝贵留言！,河北省
留言对象：河北省委书记倪岳峰,适度扩大普通高中录取规模，助力河北高质量发展,建言,教育,已办理,2023-08-28 07:42,尊敬的领导，您好！百年大计，教育为本。教育大计，办学为本。办学大计，招生为本。如今，随着城乡群众物质生活水平的日益提高和自身文化素质的提升，越来越多的家庭越来越来重视子女的教育，更多的家庭希望子女接受高等教育。于是，高中教育的重要性愈发凸显。可是，很多的孩子却由于普通高中录取规模较小，加之各个区县办学规模与各学校办学质量不均衡，导致很多愿意继续学习的孩子不能继续学业。希望可以适度扩大普通高中招生录取规模，解决很多家长的这一急难愁盼的问题。同时也可以解决一部分大学毕业生以及研究生的就业问题，助力河北实现高质量发展。,认领交办,2023-08-29 15:15,网友您好！您的建议我们已转有关部门参考。感谢您的留言，欢迎您提出更多更好的意见和建议。,河北省
留言对象：河北省委书记倪岳峰,饭点问题,建言,环保,办理中,2023-08-27 13:47,五*登要在美的梧桐林语门口原来售楼部改成饭店，饭店会污染环境，给梧桐林语业主影响，交通，停车场都会有很大的影响，我强烈反对不能开饭店,认领交办,2023-08-29 14:28,您的留言我们已收到！您反映的问题已转相关部门处理，感谢您的宝贵留言！,河北省
留言对象：河北省委书记倪岳峰,求助,建言,城建,办理中,2023-08-27 11:36,本人在廊坊市临空经济区新奥研究院上海宝*分包廊坊益*所承包的项目做钢筋绑扎，项目拖欠5800八百元未结清，还有30吨绑扎的钢筋钱没给每吨750元，共计，22500没给，希望领导能给予帮助解决，谢谢了。,认领交办,2023-08-28 16:33,您的留言我们已收到！您反映的问题已转相关部门处理，感谢您的宝贵留言！,河北省廊坊市
留言对象：河北省委书记倪岳峰,无偿献血荣誉卡,建言,政务,办理中,2023-08-26 03:07,"1.建议全国无偿献血奉献奖铜奖可以办理河北无偿献血荣誉卡
2.建议无偿献血荣誉卡可以实现刷地铁和公交的功能
3.建议单人献血小板也可以和团队献血小板一样 食堂可以留饭 不要求和团队一样十几个菜一桌 起码多晚都有饭 不要做到区别对待 不要最后饭都没有导致吃不上 还没地反映",认领交办,2023-08-28 15:53,您的留言我们已收到！您反映的问题已转相关部门处理，感谢您的宝贵留言！,河北省
留言对象：河北省委书记倪岳峰,河北人外省大学期间入伍不适用河北省考退役计划,建言,就业,已办理,2023-08-25 14:25,河北省考公告对退役大学生的要求原文：一是从河北省应征入伍、2022年服役期满退出现役，入伍前取得普通高等教育大学专科以上学历的退役士兵；二是大学期间从河北省应征入伍、服役期满退出现役后复学，2023年应届毕业的普通高等教育大学专科以上学历的退役士兵。这就导致河北户籍（生源）考生在外省就读大学期间在大学所在地入伍的，在毕业回冀就业时不能享受这个计划。建议考虑将河北户籍（生源）的退役大学生士兵也可以加入报考范围，鼓励在外毕业生回冀就业，加快建设京畿福地美丽河北。,河北省委组织部,2023-08-30 09:08,网友，您好！您的问题已由省委组织部业务处室电话回访答复，感谢您对公务员工作的关注，敬祝生活愉快！,河北省
留言对象：河北省委书记倪岳峰,积水,建言,交通,办理中,2023-08-24 20:24,河北省邢台市清河县王官庄镇孙洼村，8月23日晚上清河县下雨导致清河县王官庄孙洼村一街道大量积水，这样的问题存在2年之久，导致老百姓无法出行，请领导帮忙解决,认领交办,2023-08-28 17:03,您的留言我们已收到！您反映的问题已转相关部门处理，感谢您的宝贵留言！,河北省邢台市清河县
留言对象：河北省委书记倪岳峰,关于邯郸邢台两市企业组织共用“冀南”地区专名,建言,政务,办理中,2023-08-23 11:10,邯郸邢台一体化发展规划（2017）已提出多年，两市城区已在区划调整后实现“连片”。一体化发展的推动实施，离不开两市群众及组织在观念上的一体化。建议进一步出台举措，使得邯郸邢台两市的企业机构、场馆设施在申报名称时，可以自愿选择使用“冀南”这一地区专名来命名。如：冀南某某商贸公司、冀南某某书法协会、冀南某某美术馆等等。通过共用“冀南”地区专名这样的“软区划”，来增强两市群众在地区观念上的趋同性，以此增进邯邢区域的协调度、融合度，加速一体化进程。,认领交办,2023-08-25 10:36,您的留言我们已收到！您反映的问题已转相关部门处理，感谢您的宝贵留言！,河北省邢台市邢台
留言对象：河北省委书记倪岳峰,关于法检法官助理检察官助理报考条件的建议,建言,就业,已办理,2023-08-22 10:14,1，河北定向选调中省法院和省检察院把报考专业限定在了一个专业上，如刑法，宪行，没有给其他专业的学生一个公平竞争的机会，符合报考条件的考生数量较少，其他专业的考生未必不如刑法宪行的考生，读博尚且能更换专业，法学都是有共性的，建议调整为0301或者0351法学类大项，让大家共同参与竞争，择优录取。2，河北省考中法官助理和检察官助理通常会限定为刑法民法法理宪法国际法等传统法学类硕士，然而随着法学学科的不断发展，事实已经出现了传媒法，传播法，金融法，智能法，军事法等新兴的法学专业硕士，报考条件应当进行相应的更新顺应社会发展，比如某些部门法硕士会出现报考岗位反而不如法学本科生多的现状，不利于吸纳人才，建议调整为0301或者0351法学类大项。,河北省委组织部,2023-08-28 15:13,网友，您好！您的问题已由省委组织部业务处室电话回访答复，感谢您对组织工作的关注，敬祝生活愉快！,河北省
留言对象：河北省委书记倪岳峰,违规改造,建言,城建,办理中,2023-08-21 15:42,清河县家乐园北***食品违规墙改窗，***食品明明是广告牌设置审批。如何可以同意墙改窗呢？,认领交办,2023-08-28 09:34,您的留言我们已收到！您反映的问题已转相关部门处理，感谢您的宝贵留言！,河北省邢台市清河县
